Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
litiengine	110	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/fc65c327feed9fc54830c93ff0e8c54f40303ff2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/74629d4d6a948ec4c4a48ad21324023e1fc97f9c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/464a242ea4eba84a18a76232f441e69a4a64cc2a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	1	3	Skipping when currentText is null is consistent with other locations handling this case, so B looks best. A has a probably unintended side-effect. C could be okay, if createBubbleImage should be called only when the text is non-null (but I don't see many signs for that assumption).	0	1	0
libgdx	331	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/84e45df3407975fe525d874451d24717395e075f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e91c9646b2ffeb413f2fba21dc41a50fb856de5d"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	float maxHeight = c.maxHeight.get(c.actor);	3	1	3	Similar to libgdx-319			
libgdx	128	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2666f98d3a9919254d62642f1896630cc2a516f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a7b6429634e05b1aef82b60cd1f6e02f00eb9267"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bfce57ab7b2905cf44cbc1fc1fcbd717f14fb381"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	@Initializer	3	3	1	"A adds many casts, which is very ugly. In B, the first of the ""else"" branches does exactly the same as the ""if"" branch. C maybe the best way to go here, even though it'll require changes in caller code"	0	0	9
glide	17	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6b48a41b87283033f21a0a473e10d4ef034460e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/237837945abd68b8c2dc5a12dbc288ac8c823733"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/c4135e7ba30d92f28be15991cb6e0206311a3687"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	transcodeClass = null;	2	3	1	Similar to glide-16. B is stupid. A is reasonable, but will require handling follow-up errors. C looks best, asa it handles follow-up errors.	3	0	0
libgdx	196	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a51fb301af5bfc47be3aaea0d901c526db524364"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6a25e8fbe261701233c1c180a3f78677e46af465"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a35d007be7c23837ba087b32937d1a2e10f37a81"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java:52	return null;	3	3	3	C seems wrong (and messes up the comment). Adding a nullable annotation (as done by A and B) seems correct. However, A adds null-check and casts, which is unnecessary. B just skips behavior, which may not be intended either.			
libgdx	415	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/efbf8d6deb4133b7360769bc485d8f32b713114c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9abd99848f7df89064a2766990fc0149d71c30a2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6927250e2534744b68eeffc99376bdd55ef4facc"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression p is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java:160	p.next = null;	1	2	3	It seems that p will never be null, so casting (as done in A) is fine. C adds many checks, which seem unnecessary but reduce readability. B likely does no harm, but the check isn't required.			
spring-boot	32	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/906183d38ce5fe72d5a1df4c72ff4d75b192c059"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/48bde752a3be925485e367319ec8d513ee080e73"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/079c94dfa094a530856ad5dfd55286cc1ba2db0e"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	1	3	1	Passing an empty array in case annotations is null seems reasonable, as done by A and C. The case done by B may fail.			
zuul	10	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/b226fbe4ee6ede6aeff81d078d9539c8fb5edf3e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/24fc0b05a06d02593620c8dfb9660681a78288c6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/e9b6b7236c1e7d3fab3dede8fb0901182c61d4a4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	1	1	2	B and C are equivalent and make sense to me. A achieves the same, but creates an object that isn't required.			
wala-util	17	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/2f146e67994fccf02955f63ce5d98f7258b5ad59"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/20786a41814a7b72db0378a4f7ac29885606a756"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/479a4b7cb161317cda48b78897b4bf5f1c5e6fa4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	return succs.get(N).iterator();	2	1	2	Casting is fine, as the code just above ensures that the map contains this entry. A and C add unncessary code, but should give the correct behavior.			
libgdx	309	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9822d1adafa57cdeab6f9cfb0798965fb2f3640b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b13a7b4ef30815a20f157913b32a1e40afe0befd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ba654d2e9c3f40a10bc8badf8498071913a90ea3"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:901	c.computedPadRight = c.padRight.get(a) + ((column + colspan) == columns ? 0 : spaceRight);	3	2	3	Similar to libgdx-319. C just skips behavior, A uses a cast that may fail. B could be okay, but hard to tell for me what the intent here is.			
gson	2	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/6ab8f5ceeec572e434c71717887b50b440b0871a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/bcd611b99641ffe341c228a879bb12ec360a0128"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/20532a6c8c82f93f1435307475e47c89c39057b3"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	long value = longAdapter.read(in).longValue();	2	3	2	Not fully sure whether A or C is closest to the intended behavior, but the code needs to handle null in one way or another.	0	1	0
libgdx	322	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/03f35e4f6bfe68d330fba7b965ca244c75031457"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/55a7077a5363fad3c0cd623b4a619dcef8d9ec37"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64a23e73143780a7a799d87eba6ab1074d2d75b3"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1091	float prefWidth = c.prefWidth.get(a), prefHeight = c.prefHeight.get(a);	3	2	2	"Also similar to ligdx-319. A is wrong because the cast may fail. B and C are equivalent and may be the intended behavior, but not 100% sure. I could also give a low-confidence ""1"" to both them (and similar for the two similar errors above)."			
libgdx	355	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/90bee9d53ae5ed744ac177ec0f0c135ad7e560b3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b8bf7f3342730d943755ecc7ff1467ea070545f8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b9273f00e2c59d70d612426918c3a119bda45427"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	public VerticalGroup() {	1	2	3	columnSizes being null doesn't convey any special state, as shown by line 70, so initializing it to an empty collection makes sense (as done in A). B is clone, but stupidly duplicates the line. C seems overly complex	0	0	1
