Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE_A_Reviewer_1	SCORE_B_Reviewer_1	SCORE_C_Reviewer_1	SCORE_A_Reviewer_2	SCORE_B_Reviewer_2	SCORE_C_Reviewer_2	SCORE_A_Reviewer_3	SCORE_B_Reviewer_3	SCORE_C_Reviewer_3	Reviewer_1_Comment	Reviewer_2_Comment	Reviewer_3_Comment	Consolidation_Comment	File_Type
libgdx	183	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cad4d076e2f6cf81cc0dc32d2f17fc8ccb3738d8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/541829db1df00fd5a3ab77fed962bb187699795f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/13d340606a96efe1e2b83c69c31d3888db9439b6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression side is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/FrameBufferCubemap.java:182	side.glEnum,	3	3	2	2	2	2	3	3	2				the parameter should not be nullable.  annotator issue?  a good patch would find the root cause.  these patches don't break the program, but don't solve the real issue.	Correct patch is to remove the @Nullable annotation and instead suppress the callsite on line 169. Patch C correctly recognizes that side shouldn't be null here, but puts the suppression in the wrong place. Patches A and B do not and are therefore wrong.		MS: I can agree on 3 3 2	consolidation
litiengine	97	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/722979dc528854ca4a7a3d4bfc0a259b21d70df6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7e57b5cde1dc30f2db0121f6274a00839c0c75e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ec9ea1cd6c1db9974f358fcdf2ddb61c3ca4f6c3"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	return this.name;	2	3	1	3	1	2	2	3	1				seems it can actually be null, if it's not set.  based on the usages i think returning an empty string is reasonable.  making return `@Nullable` and adding null checks is second best.  just marking return as `@Nullable` leads to new errors.	there's nothing to guarantee that setName gets called on every GuiComponent, so making the return nullable makes sense. Patch A just does that and doesn't deal with call sites, which is a good start, but wrong. Patch C does that and does deal with callsites, so it's ok. Patch B is trickier: it makes the getName() method return the empty string when the name is empty. I think this could be ok, but it could also lead to subtle bugs later: if two GuiComponents both didn't have their names set, they might accidentally be considered to have the same name by code like the code in ScreenManager that patch C edits. So, I don't think this change is safe.		MK: we agree on relative order of A and C, just a question of whether B is safe. I stand by my argument that it isn't.  MS: I'm convinced by your argument	consolidation
litiengine	114	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3c7c056c4db85715b6ab082f23099d0478e26c74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/322b1864d2036802db5fadedef648173288e28ec"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/da15c94fb727545e4d751df750992e1fe329ff8b"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/input/Input.java:50	return gamePadManager;	3	3	3	2	3	3	3	3	3				seems like if the protocol is followed correctly (right config and system has been initialized) this should return nonnull.  seems like a bad API that should just fail rather than returning null.  adding null checks at all callers is tedious.  Patch A is ok though it adds null checks, Patches B and C are bad.	Line 105 of input initializes gamePadManager iff Game.config().input().isGamepadSupport() is true. That's exactly the condition checked above this return, so the warning is a false positive and the correct thing to do is to suppress it _and_ add an explicit throw along with the SEVERE logging logic (IMO). All the patches aren't even close.		MK: I don't see any redeeming features in patch A.  MS: On second look I agree	consolidation
libgdx	445	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ac0621103872ee61e599ab959a1677e62f51f37b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/215c8c48ec068edc29dd52135b54d94e980cd9d8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a503b0a8a6eadb0c57dcd14e7a4f3fd31c0ddbf2"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lzma/Encoder.java:1270	_matchFinder = null;	3	3	3	3	3	3	3	2	3				The field should be `@Nullable` I think.  Initialized via some complex protocol.  I don't think any of the patches quite do a proper fix.  I would probably do a checkNotNull at the beginning of each method that uses the field, or something like that.	_matchFinder is clearly supposed to be null, so only Patch B makes any sense. I gave patch B a 2 rather than a 1 because although I can't find anything wrong with it per se, it's pretty extensive and would require careful review. I suspect there's at least one minor mistake in there, but I don't have enough expertise to be sure.		"MK: willing to go to 333, but I think patch B is materially better than the other two even though it's not great, hence my 2 score.  MS: I think Patch B introduces casts that are unnecessary, i.e., they are dominated by a null check so there should be no warning.  I've emailed Pascal separately about these cases, I think it's different than the ""new error"" issue with casts. MK: I agree it's different. I'm happy with 333 here, so let's go with that."	consolidation
glide	9	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/282eb711e1aec3f83f15671349be398c49220f5a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/bd6eac2e153241b01c81de24c05aabc1bfc18e72"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/67308f0c494d0ad60f135b6e9c3a7cee5ab5118d"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	return modelLoaderIndex < modelLoaders.size();	3	2	2	3	1	1	3	2	2				Adding a null check seems reasonable.  Patch A has some unrelated change.	A combination of short-circuit evaluation and the loop guard on the while loop around line 52 mean that this method is never called when modelLoaders is null (and the method is private), so I think the best fix is a suppression. All three patches are effectively identical, and I marked them as 2s because they're plausibly a good idea from a defensive code perspective. Patch A gets a 3 instead because it makes an unrelated change.		MK: I'm willing to go to 311 if Manu feels strongly.  MS: I think 3 2 2 is better upon further consideration.	consolidation
wala-util	35	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/98de7bfd2cd33ecd02b298dbe41b5884a36afbd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/72c11c357fea707cbec61761fdf53cb2d23767b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/4ac4d907e2864a0403bb3d0497a3b0f8b30b433e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression v is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/BasicNaturalRelation.java:161	v.set(x, y);	1	2	2	3	1	1	1	3	2				v cannot be null according to the logic.  casting or null check + exception seems reasonable.  I don't know what Patch A is doing.	Patch A gets this exactly right, avoiding the nullability issue altogether while presesrving semantics. Patch B is totally wrong (v can't be null), while patch C is decent but misses patch A's better approach. I considered giving patch C a 1 also, but I like patch A better.		MK: Patch A is un-hoisting the variable so that it's loop-scoped. I'm pretty sure the change is semantically-equivalent, and it completely avoids the null case, which is why I prefer it. I'm willing to go to 131, but I don't think patch B is correct: v can't be null, so null-checking it is silly.  MS: Ok, I understand Patch A now and agree with you.  But, isn't Patch B essentially an inlined cast?  Maybe we should go 1 2 2? MK: Ok with 1 2 2	consolidation
glide	45	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d859cac480c351f7e47d14f50e3d9efccc320225"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/99ef9a3a45db008a12bf5fdbaa7bccf14fcce25f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/88465e2325bb5c3654c46635baf3047ffc414be4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/ResourceCacheGenerator.java:118	return modelLoaderIndex < modelLoaders.size();	2	2	3	1	1	3	2	2	3				Similar to row 47. (row 19: glide 9 now [Pascal])	code is almost identical to patch id 9, and the pattern here is the same: patches A and B have ok defensive fixes for what is actually a false positive; patch C has unnecessary other changes		MS: I'm fine with 2 2 3 on this one.	consolidation
libgdx	360	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9e65381c908498ddff16cda75dff5cbbacb4673e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/800663930aa514919cdd5e55ef7a1b34c61ecbc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e19fa2a52f3f8d5a6db44feac3617fe602a2ba55"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	2	2	2	2	2	2				3	2	1	I can't find any usages of the zero-arg constructor so this case is hard to judge.  My assumption is that there is some global invariant that WindowStyles constructed with the zero-arg constructor shouldn't really be used in cases where a title font is needed.  So I think it's better to use castToNonNull to fail fast if that global invariant is violated, rather than initializing to a default font and then possibly having something else be broken later.  Possibly, though, the zero-arg constructor should just be deleted?  Patch A at 2 since it still leaves one error, though it'd be nice to know what that was		Setting a default font, as done by B and C seems reasonable. B should use an import. A is too complex.		consolidation
jadx	89	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/7c84d3924eb8feefcd904710ac4cc23a059a6db8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/2d8656690b06fe8aa58663bdc40a58d5018207eb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c572cb4608cdcc82d21ddcaed44f6cc5efa576cf"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	2	2	2	2	2	2				3	1	1	Another tricky one.  checkInvoke is doing a null check, and I think the best fix would be to add a contract annotation on that method so that NullAway could understand the null check it performs.  castToNonNull is an appropriate fix (Patch A).  I feel developers will be annoyed by the redundant null check in Patches B and C.  But, they may be annoyed by the castToNonNull calls also.  I think Patch A is slightly better, but giving all a 2 for now.		B and C looks like the intended behavior. A may cause runtime error.		consolidation
libgdx	214	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/465c89894cfa0f95ce648e9a463ce88a1cadb8a0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/41b775a520a40266d609500b1ba48f9859e503b4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ce32ee051b72f1c0db919a806ce575fc8c72514f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	2	2	2	2	1	2				1	3	1	I'm not sure why the parameter of addAction is @Nullable; I didn't immediately finding any call sites passing something possibly null.  But, assuming null can be passed, I think it is unexpected, and failing fast with a cast (Patch B) is better than just returning silently.		Cast in B contradicts annotation. A and C look fine, but this behavior should probably be documented.		consolidation
jadx	84	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/30861c4de848c48fdcda3cc38b361596dd6c9791"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f6496090589e7e4b5788d4002668fac05d429746"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/3f525ecf7945693e43e1d2671c2515f1e18c3b67"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	3	3	1	3	3	2				2	2	1	I don't think FinallyExtractInfo.startBlock should be `@Nullable`.  Instead, there should be a castToNonNull at https://github.com/Pascal-Joos/jadx/blob/30861c4de848c48fdcda3cc38b361596dd6c9791/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java#L113 and the field should just be non-null.  Still, Patch C with the cast is better than just returning false, since nullness is unexpected and just returning false could mask a bug.		Should never be null, I think, so casting, as done by C is best. A and B are also correct, but handle a never occurring case.		consolidation
libgdx	67	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64837f3bcc12d600f0418797b847f22039028dd0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bda6aef932747ec3241263833840f01a4de12d44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cda3771ad7dba8cf493d2318316cf2e46623ece6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	3	3	3	2	3	3				3	1	1	Clearly region is not expected to be null here, so I don't know why the parameter is `@Nullable`.  Probably there should be a castToNonNull somewhere else and the parameter should become `@NonNull`.  But, still Patch A with the cast is better than just returning without doing anything, to avoid masking a bug.		Cast in A contracts the annotation. Assuming the annotation is correct, then defaulting to do nothing (i.e., patch B and C) seems okay.		consolidation
litiengine	56	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0a9c3399ce7a83d630ab3424f16c2e6d6d8bc374"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b1ae672df6a2d80e8e119670b13aa508c524491"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3b7a707cbb5200ab842b8ff6a71101fed5bd2e1a"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	3	1	3	3	1	3				2	1	2	Seems clear there is some invariant where if it's in infinite map then its `y` field should be `@NonNull`.  So, better to cast and fail fast than to mask the case where `y` is unexpectedly null.		From setX and setY, it seems that isInfiniteMap implies a non-null value, i.e., okay to cast, as done by B. A and C are also correct, but introduce unnecessary checks.		consolidation
litiengine	76	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f658c9023ffc1bea19a1e41555ea610a75ad42f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/92fb5108ddf0bf0a1a2f4971264c7ced4882eba7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d8f6ff9a8050d5b0f0ffa13c9e13cb4ee60da277"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	3	3	1	1	3	3				3	3	1	Casting seems like the best fix; `getCompatibleImage` only returns null if either width or height is 0, which seems very unlikely in this case and probably unintentional.  Just returning and masking the issue is bad, and Patch B has a bunch of unrelated changes.		Similar to litiengine-78. B makes too many not-asked-for changes.		consolidation
libgdx	363	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/130f3aa9ba0732909a12d4a4a394f3794a0ba97e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/df5e460cb9f7449804c250ff8e3daa65160bccbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/89f0868cb2ca8577eb7da6e77735f3d136f29149"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	2	3	3	2	3				3	1	2	I think if `isValidTarget` is true, `target` must be non-null?  If so, an even better fix than Patch B would be a cast with a comment, or at least a comment indicating the null check here is unnecessary.  Patch A and Patch C add unrelated changes and sometimes do null checks on `actor` which I think cannot be null.		Check done by B is similar to what's done a few lines above. A is similar, but also edits another, not-asked-for location. C checks more than necessary to fix the warning, but otherwise okay.		consolidation
libgdx	41	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7a4848e583469b5863992f0654e74eba9d250795"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4f98d384b115305449e5d286876507c6f73f9f28"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/833f496177ac68858a399d6e2a2ebd64e12c7f75"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	3	1	3	3				1	3	2	`sprite` cannot be null here; NullAway only warns since it cannot prove the switch is exhaustive, but it is.  So casting is good, and fixes that imply `sprite` might be null are bad.		sprite seems to be non-null, so casting is fine. B skips behavior. C is okay, but not very elegant.		consolidation
litiengine	110	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/fc65c327feed9fc54830c93ff0e8c54f40303ff2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/74629d4d6a948ec4c4a48ad21324023e1fc97f9c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/464a242ea4eba84a18a76232f441e69a4a64cc2a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	3	1	3	3	1				3	1	3	`this.currentText` cannot be null; we're in a private method called from one place where `this.currentText` is guaranteed to be non-null.  (`@RequiresNonNull` could have been helpful here.)  casts are fine, though I would have preferred casting once and assigning to a local.  Patches A and B, which imply the field might be null, are bad.		Skipping when currentText is null is consistent with other locations handling this case, so B looks best. A has a probably unintended side-effect. C could be okay, if createBubbleImage should be called only when the text is non-null (but I don't see many signs for that assumption).		consolidation
libgdx	331	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/84e45df3407975fe525d874451d24717395e075f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e91c9646b2ffeb413f2fba21dc41a50fb856de5d"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	float maxHeight = c.maxHeight.get(c.actor);	3	3	3	3	3	3				3	1	3	I think the `get` method can in fact accept null as an argument, so all these patches are kind of off.  See here: https://github.com/Pascal-Joos/libgdx/blob/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Value.java#L36-L39		Similar to libgdx-319		consolidation
libgdx	128	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2666f98d3a9919254d62642f1896630cc2a516f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a7b6429634e05b1aef82b60cd1f6e02f00eb9267"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bfce57ab7b2905cf44cbc1fc1fcbd717f14fb381"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	@Initializer	2	3	3	2	3	3				3	3	1	The fields are conditionally null depending on the value in boolean fields.  Patch B just breaks this property, and Patch C will still leave a lot of warnings.  Patch A I think fixes the warnings, but it also adds both redundant null checks and casts; just the casts would be better.		"A adds many casts, which is very ugly. In B, the first of the ""else"" branches does exactly the same as the ""if"" branch. C maybe the best way to go here, even though it'll require changes in caller code"		consolidation
glide	17	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6b48a41b87283033f21a0a473e10d4ef034460e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/237837945abd68b8c2dc5a12dbc288ac8c823733"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/c4135e7ba30d92f28be15991cb6e0206311a3687"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	transcodeClass = null;	3	3	1	3	3	1				2	3	1	Field should be `@Nullable` and casts are probably need in light of the lifecycle.  Only Patch C gets it right.		Similar to glide-16. B is stupid. A is reasonable, but will require handling follow-up errors. C looks best, asa it handles follow-up errors.		consolidation
libgdx	196	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a51fb301af5bfc47be3aaea0d901c526db524364"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6a25e8fbe261701233c1c180a3f78677e46af465"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a35d007be7c23837ba087b32937d1a2e10f37a81"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java:52	return null;	3	3	3	2	3	3				3	3	3	Makes sense to make the function return `@Nullable`.  At the new warnings at call sites, hard to tell but I think probably invariants will ensure the calls don't return null.  So probably casts are best.  Patch C clearly wrong, Patch B misleading with the null checks.  Patch A ok but adds redundant null checks.		C seems wrong (and messes up the comment). Adding a nullable annotation (as done by A and B) seems correct. However, A adds null-check and casts, which is unnecessary. B just skips behavior, which may not be intended either.		consolidation
libgdx	415	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/efbf8d6deb4133b7360769bc485d8f32b713114c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9abd99848f7df89064a2766990fc0149d71c30a2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6927250e2534744b68eeffc99376bdd55ef4facc"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression p is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java:160	p.next = null;	1	3	3	1	3	3				1	2	3	cast is the right move here; p can't be null (for subtle reasons, we know curr is not the head and curr is the tail, so tail must have a prev).  adding null checks is misleading.		It seems that p will never be null, so casting (as done in A) is fine. C adds many checks, which seem unnecessary but reduce readability. B likely does no harm, but the check isn't required.		consolidation
zuul	10	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/b226fbe4ee6ede6aeff81d078d9539c8fb5edf3e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/24fc0b05a06d02593620c8dfb9660681a78288c6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/e9b6b7236c1e7d3fab3dede8fb0901182c61d4a4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	2	1	1	2	1	1				1	1	2	Looks like null checks are in fact needed here.  Patch B and C add the null checks.  Patch A I say is slightly worse since it allocates a mostly-unused TreeSet.		B and C are equivalent and make sense to me. A achieves the same, but creates an object that isn't required.		consolidation
libgdx	309	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9822d1adafa57cdeab6f9cfb0798965fb2f3640b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b13a7b4ef30815a20f157913b32a1e40afe0befd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ba654d2e9c3f40a10bc8badf8498071913a90ea3"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:901	c.computedPadRight = c.padRight.get(a) + ((column + colspan) == columns ? 0 : spaceRight);	3	3	3	2	3	3				3	2	3	My guess is some invariant means `a` can't be null.  casts are a good solution, but Patch A would be better if it stored the casted value in a local.  Patches B and C are less good since they will hide an unexpected null value.		Similar to libgdx-319. C just skips behavior, A uses a cast that may fail. B could be okay, but hard to tell for me what the intent here is.		consolidation
gson	2	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/6ab8f5ceeec572e434c71717887b50b440b0871a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/bcd611b99641ffe341c228a879bb12ec360a0128"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/20532a6c8c82f93f1435307475e47c89c39057b3"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	long value = longAdapter.read(in).longValue();	2	3	2	2	2	2				2	3	2	Because of the nullSafe wrapper no null check is needed here.  A cast or local suppression would be best.  Patch B is weird; it doesn't actually change anything other than adding a local.		Not fully sure whether A or C is closest to the intended behavior, but the code needs to handle null in one way or another.		consolidation
